Number of objects: 10000

Initial data:
Circle 36, 20, 50 blue
Circle 82, 79, 47 violet
Circle 68, 60, 47 red
Circle 22, 34, 47 orange
Circle 51, 74, 47 red
Circle 27, 15, 47 indigo
Circle 26, 95, 47 blue
Circle 17, 19, 47 orange
Circle 84, 19, 47 green
Circle 26, 70, 47 yellow
Circle 23, 38, 47 violet
Circle 33, 45, 47 red
Circle 35, 27, 47 green
Circle 52, 45, 47 orange
Circle 78, 77, 47 yellow
Circle 49, 97, 47 orange
Circle 11, 77, 47 violet
Circle 14, 0, 47 yellow
Circle 78, 92, 47 red
Circle 48, 26, 47 green
Circle 7, 13, 47 indigo
Circle 8, 24, 47 green
Circle 67, 29, 47 green
Circle 18, 44, 47 violet
Circle 94, 4, 47 indigo
Circle 72, 8, 47 green
Circle 44, 99, 47 green
Circle 73, 99, 47 indigo
Circle 72, 15, 47 orange
Circle 57, 80, 47 yellow
Circle 79, 73, 47 green
Circle 6, 87, 47 blue
Circle 63, 31, 47 indigo
Circle 95, 46, 47 yellow
Circle 69, 87, 47 red
Circle 83, 27, 47 violet
Circle 98, 20, 47 orange
Circle 26, 79, 47 indigo
Circle 27, 5, 47 green
Circle 78, 46, 47 indigo
Circle 18, 47, 47 green
Circle 28, 55, 47 yellow
Circle 62, 92, 47 orange
Circle 74, 25, 47 red
Circle 72, 66, 47 red
Circle 66, 79, 47 orange
Circle 77, 27, 47 red
Circle 71, 35, 47 orange
Circle 44, 70, 47 indigo
Circle 43, 43, 47 blue
Circle 63, 27, 47 green
Circle 33, 5, 47 green
Circle 39, 19, 47 violet
Circle 48, 70, 47 violet
Circle 61, 68, 47 indigo
Circle 62, 31, 47 indigo
Circle 86, 93, 47 blue
Circle 5, 73, 47 green
Circle 6, 89, 47 red
Circle 26, 12, 46 blue
Circle 6, 90, 46 blue
Circle 88, 14, 46 violet
Circle 2, 58, 46 blue
Circle 76, 9, 46 blue
Circle 20, 37, 46 indigo
Circle 72, 70, 46 violet
Circle 16, 76, 46 blue
Circle 99, 62, 46 red
Circle 10, 9, 46 violet
Circle 28, 61, 46 violet
Circle 33, 54, 46 indigo
Circle 7, 72, 46 green
Circle 43, 79, 46 violet
Circle 15, 1, 46 green
Circle 58, 18, 46 violet
Circle 18, 12, 46 indigo
Circle 35, 12, 46 green
Circle 6, 61, 46 red
Circle 80, 30, 46 green
Circle 95, 62, 46 yellow
Circle 54, 16, 46 indigo
Circle 89, 96, 46 green
Circle 12, 40, 46 indigo
Circle 60, 90, 46 blue
Circle 34, 96, 46 yellow
Circle 87, 69, 46 orange
Circle 96, 89, 46 green
Circle 89, 82, 46 blue
Circle 38, 18, 46 indigo
Circle 8, 37, 46 indigo
Circle 15, 13, 46 green
Circle 53, 51, 46 red
Circle 11, 64, 46 orange
Circle 49, 34, 46 indigo
Circle 30, 12, 46 blue
Circle 16, 87, 46 violet
Circle 93, 5, 46 orange
Circle 46, 7, 46 violet
Circle 61, 72, 46 orange
Circle 39, 38, 46 green
Circle 9, 81, 46 violet
Circle 64, 55, 46 violet
Circle 21, 49, 46 blue
Circle 60, 49, 46 violet
Circle 98, 58, 46 orange
Circle 11, 22, 46 indigo
Circle 12, 92, 46 red
Circle 28, 91, 46 orange
Circle 71, 74, 46 violet
Circle 63, 28, 46 red
Circle 70, 24, 46 violet
Circle 59, 20, 46 red
Circle 26, 58, 46 violet
Circle 75, 0, 46 indigo
Circle 19, 46, 46 blue
Circle 57, 25, 46 violet
Circle 18, 55, 46 blue
Circle 96, 5, 46 red
Circle 62, 3, 46 violet
Circle 38, 41, 46 yellow
Circle 1, 72, 46 green
Circle 53, 98, 46 violet
Circle 52, 42, 46 orange
Circle 77, 34, 46 violet
Circle 19, 20, 46 violet
Circle 69, 15, 45 violet
Circle 72, 60, 45 red
Circle 81, 26, 45 indigo
Circle 82, 77, 45 yellow
Circle 44, 48, 45 orange
Circle 73, 22, 45 yellow
Circle 81, 32, 45 violet
Circle 65, 36, 45 orange
Circle 71, 18, 45 red
Circle 22, 94, 45 blue
Circle 45, 8, 45 indigo
Circle 9, 28, 45 green
Circle 62, 88, 45 indigo
Circle 16, 27, 45 orange
Circle 64, 30, 45 green
Circle 18, 74, 45 indigo
Circle 18, 41, 45 indigo
Circle 91, 93, 45 yellow
Circle 5, 52, 45 indigo
Circle 21, 83, 45 yellow
Circle 73, 8, 45 yellow
Circle 86, 64, 45 indigo
Circle 5, 50, 45 orange
Circle 59, 72, 45 green
Circle 63, 38, 45 orange
Circle 28, 68, 45 orange
Circle 6, 75, 45 violet
Circle 73, 20, 45 red
Circle 15, 57, 45 red
Circle 64, 92, 45 green
Circle 48, 31, 45 orange
Circle 12, 66, 45 red
Circle 27, 7, 45 yellow
Circle 53, 73, 45 yellow
Circle 29, 78, 45 violet
Circle 84, 43, 45 red
Circle 40, 34, 45 blue
Circle 95, 36, 45 red
Circle 11, 96, 45 red
Circle 4, 88, 45 green
Circle 92, 73, 45 green
Circle 35, 79, 45 violet
Circle 90, 77, 45 red
Circle 27, 15, 45 green
Circle 30, 65, 45 green
Circle 59, 54, 45 green
Circle 63, 4, 45 indigo
Circle 14, 2, 45 yellow
Circle 90, 73, 45 violet
Circle 14, 81, 45 yellow
Circle 51, 4, 45 green
Circle 18, 90, 45 orange
Circle 53, 43, 45 yellow
Circle 84, 6, 45 yellow
Circle 28, 26, 45 orange
Circle 99, 50, 45 red
Circle 65, 58, 45 blue
Circle 94, 1, 45 orange
Circle 34, 86, 45 orange
Circle 99, 8, 45 indigo
Circle 94, 5, 45 indigo
Circle 52, 17, 45 yellow
Circle 89, 99, 45 orange
Circle 4, 20, 45 green
Circle 45, 93, 45 yellow
Circle 95, 46, 45 yellow
Circle 58, 82, 45 blue
Circle 33, 43, 45 red
Circle 68, 56, 45 indigo
Circle 93, 75, 45 indigo
Circle 37, 81, 45 indigo
Circle 49, 71, 45 indigo
Circle 71, 11, 45 violet
Circle 44, 28, 44 yellow
Circle 22, 60, 44 orange
Circle 39, 2, 44 blue
Circle 54, 57, 44 red
Circle 82, 16, 44 green
Circle 77, 81, 44 yellow
Circle 88, 27, 44 orange
Circle 44, 9, 44 yellow
Circle 79, 41, 44 green
Circle 57, 99, 44 yellow
Circle 20, 60, 44 orange
Circle 83, 82, 44 yellow
Circle 93, 47, 44 indigo
Circle 79, 87, 44 indigo
Circle 90, 73, 44 yellow
Circle 87, 66, 44 violet
Circle 47, 40, 44 orange
Circle 79, 14, 44 violet
Circle 76, 94, 44 orange
Circle 19, 21, 44 violet
Circle 85, 59, 44 red
Circle 33, 90, 44 violet
Circle 20, 92, 44 green
Circle 53, 88, 44 orange
Circle 27, 3, 44 violet
Circle 83, 62, 44 green
Circle 31, 3, 44 green
Circle 45, 95, 44 green
Circle 83, 74, 44 red
Circle 71, 50, 44 indigo
Circle 46, 48, 44 red
Circle 95, 70, 44 indigo
Circle 95, 76, 44 indigo
Circle 0, 58, 44 red
Circle 30, 65, 44 blue
Circle 50, 7, 44 red
Circle 6, 11, 44 orange
Circle 5, 23, 44 yellow
Circle 27, 17, 44 violet
Circle 98, 61, 44 blue
Circle 74, 79, 44 violet
Circle 47, 21, 44 indigo
Circle 45, 90, 44 indigo
Circle 96, 11, 44 yellow
Circle 25, 6, 44 orange
Circle 96, 76, 44 indigo
Circle 77, 56, 44 violet
Circle 37, 64, 44 red
Circle 27, 93, 44 green
Circle 61, 74, 44 indigo
Circle 88, 53, 44 yellow
Circle 83, 97, 44 indigo
Circle 39, 26, 44 violet
Circle 63, 53, 44 blue
Circle 74, 1, 44 yellow
Circle 31, 60, 44 red
Circle 46, 71, 44 green
Circle 34, 65, 44 yellow
Circle 95, 81, 44 violet
Circle 37, 90, 44 green
Circle 84, 15, 44 yellow
Circle 27, 50, 44 yellow
Circle 68, 31, 44 yellow
Circle 59, 54, 43 orange
Circle 0, 43, 43 orange
Circle 38, 41, 43 red
Circle 99, 90, 43 green
Circle 75, 50, 43 red
Circle 4, 32, 43 green
Circle 38, 38, 43 yellow
Circle 76, 93, 43 blue
Circle 77, 76, 43 blue
Circle 77, 20, 43 green
Circle 30, 31, 43 red
Circle 98, 3, 43 yellow
Circle 17, 99, 43 yellow
Circle 12, 3, 43 green
Circle 0, 42, 43 violet
Circle 23, 0, 43 green
Circle 83, 17, 43 indigo
Circle 11, 41, 43 indigo
Circle 49, 15, 43 indigo
Circle 76, 12, 43 blue
Circle 15, 63, 43 orange
Circle 14, 74, 43 violet
Circle 73, 76, 43 red
Circle 82, 40, 43 indigo
Circle 25, 69, 43 orange
Circle 75, 39, 43 yellow
Circle 53, 26, 43 orange
Circle 74, 52, 43 orange
Circle 35, 0, 43 blue
Circle 38, 78, 43 yellow
Circle 25, 49, 43 red
Circle 31, 15, 43 yellow
Circle 84, 49, 43 green
Circle 58, 26, 43 indigo
Circle 95, 28, 43 indigo
Circle 87, 42, 43 red
Circle 39, 52, 43 red
Circle 79, 93, 43 red
Circle 48, 15, 43 green
Circle 15, 88, 43 red
Circle 99, 42, 43 blue
Circle 41, 12, 43 indigo
Circle 2, 45, 43 yellow
Circle 15, 9, 43 blue
Circle 74, 60, 43 yellow
Circle 80, 79, 43 yellow
Circle 53, 4, 43 blue
Circle 28, 87, 43 orange
Circle 7, 88, 43 yellow
Circle 51, 83, 43 green
Circle 36, 55, 43 indigo
Circle 9, 32, 43 orange
Circle 84, 11, 43 red
Circle 46, 86, 43 violet
Circle 36, 91, 43 yellow
Circle 72, 60, 43 violet
Circle 75, 85, 43 indigo
Circle 26, 72, 43 indigo
Circle 40, 99, 43 yellow
Circle 68, 60, 43 violet
Circle 77, 55, 43 yellow
Circle 38, 65, 43 red
Circle 62, 22, 43 red
Circle 42, 97, 43 blue
Circle 13, 46, 43 yellow
Circle 48, 74, 43 red
Circle 64, 74, 43 indigo
Circle 67, 62, 43 yellow
Circle 42, 74, 42 red
Circle 83, 2, 42 red
Circle 11, 44, 42 indigo
Circle 32, 16, 42 green
Circle 72, 99, 42 indigo
Circle 75, 39, 42 indigo
Circle 24, 85, 42 orange
Circle 47, 14, 42 green
Circle 22, 47, 42 orange
Circle 69, 48, 42 blue
Circle 64, 40, 42 blue
Circle 46, 9, 42 red
Circle 26, 83, 42 blue
Circle 17, 87, 42 green
Circle 46, 24, 42 indigo
Circle 23, 96, 42 red
Circle 25, 50, 42 green
Circle 84, 80, 42 indigo
Circle 41, 5, 42 violet
Circle 26, 89, 42 indigo
Circle 50, 49, 42 yellow
Circle 16, 81, 42 violet
Circle 93, 34, 42 red
Circle 37, 87, 42 green
Circle 76, 28, 42 red
Circle 59, 60, 42 blue
Circle 96, 75, 42 yellow
Circle 14, 30, 42 orange
Circle 62, 4, 42 red
Circle 43, 55, 42 indigo
Circle 66, 58, 42 red
Circle 17, 18, 42 violet
Circle 66, 33, 42 green
Circle 78, 59, 42 yellow
Circle 94, 88, 42 orange
Circle 39, 44, 42 orange
Circle 5, 45, 42 yellow
Circle 45, 54, 42 orange
Circle 68, 98, 42 orange
Circle 19, 17, 42 indigo
Circle 61, 39, 42 blue
Circle 76, 14, 42 orange
Circle 19, 69, 42 green
Circle 46, 51, 42 blue
Circle 78, 13, 42 yellow
Circle 49, 66, 42 yellow
Circle 61, 76, 42 indigo
Circle 7, 13, 42 blue
Circle 61, 25, 42 indigo
Circle 81, 3, 42 blue
Circle 87, 49, 42 indigo
Circle 34, 46, 42 orange
Circle 23, 9, 41 orange
Circle 45, 20, 41 indigo
Circle 97, 46, 41 violet
Circle 29, 69, 41 indigo
Circle 42, 84, 41 indigo
Circle 81, 11, 41 orange
Circle 78, 20, 41 red
Circle 84, 32, 41 blue
Circle 63, 68, 41 red
Circle 66, 65, 41 blue
Circle 55, 23, 41 blue
Circle 87, 81, 41 orange
Circle 26, 33, 41 red
Circle 42, 1, 41 violet
Circle 91, 37, 41 indigo
Circle 40, 31, 41 violet
Circle 10, 97, 41 indigo
Circle 70, 2, 41 indigo
Circle 72, 19, 41 violet
Circle 61, 69, 41 orange
Circle 82, 69, 41 violet
Circle 92, 36, 41 yellow
Circle 72, 57, 41 blue
Circle 22, 81, 41 orange
Circle 25, 59, 41 orange
Circle 12, 21, 41 red
Circle 69, 45, 41 indigo
Circle 31, 67, 41 violet
Circle 32, 5, 41 blue
Circle 76, 17, 41 orange
Circle 66, 95, 41 violet
Circle 46, 21, 41 indigo
Circle 53, 1, 41 red
Circle 85, 68, 41 green
Circle 35, 80, 41 red
Circle 61, 54, 41 green
Circle 76, 62, 41 indigo
Circle 17, 90, 41 violet
Circle 39, 94, 41 red
Circle 7, 18, 41 red
Circle 97, 15, 41 red
Circle 47, 14, 41 violet
Circle 57, 56, 41 red
Circle 16, 53, 41 indigo
Circle 39, 7, 41 violet
Circle 51, 89, 41 green
Circle 71, 16, 41 violet
Circle 57, 54, 41 blue
Circle 6, 4, 41 red
Circle 91, 6, 41 indigo
Circle 54, 87, 41 yellow
Circle 77, 93, 41 red
Circle 2, 42, 41 green
Circle 30, 69, 41 red
Circle 83, 35, 41 red
Circle 46, 27, 41 orange
Circle 94, 42, 41 orange
Circle 64, 70, 41 orange
Circle 72, 38, 41 violet
Circle 70, 99, 41 green
Circle 22, 74, 41 red
Circle 53, 41, 41 green
Circle 48, 51, 41 green
Circle 89, 77, 41 red
Circle 18, 0, 40 yellow
Circle 14, 69, 40 green
Circle 35, 1, 40 green
Circle 68, 61, 40 orange
Circle 7, 83, 40 violet
Circle 32, 12, 40 orange
Circle 21, 3, 40 yellow
Circle 64, 98, 40 orange
Circle 68, 81, 40 blue
Circle 69, 24, 40 violet
Circle 37, 15, 40 indigo
Circle 44, 74, 40 indigo
Circle 53, 70, 40 indigo
Circle 0, 23, 40 blue
Circle 76, 46, 40 violet
Circle 18, 72, 40 yellow
Circle 37, 9, 40 blue
Circle 34, 56, 40 orange
Circle 30, 59, 40 green
Circle 77, 62, 40 red
Circle 55, 90, 40 red
Circle 72, 74, 40 yellow
Circle 35, 48, 40 indigo
Circle 24, 98, 40 yellow
Circle 21, 29, 40 violet
Circle 94, 58, 40 yellow
Circle 57, 79, 40 blue
Circle 1, 43, 40 red
Circle 45, 85, 40 violet
Circle 17, 8, 40 blue
Circle 69, 97, 40 green
Circle 66, 21, 40 blue
Circle 39, 17, 40 green
Circle 69, 34, 40 orange
Circle 94, 25, 40 green
Circle 77, 37, 40 red
Circle 60, 58, 40 green
Circle 72, 30, 40 violet
Circle 63, 26, 40 orange
Circle 58, 8, 40 red
Circle 93, 93, 40 violet
Circle 30, 78, 40 violet
Circle 68, 6, 40 green
Circle 61, 80, 40 orange
Circle 77, 25, 40 blue
Circle 30, 15, 40 orange
Circle 62, 85, 40 green
Circle 51, 81, 40 indigo
Circle 36, 62, 40 green
Circle 80, 54, 40 yellow
Circle 94, 45, 40 green
Circle 21, 70, 40 orange
Circle 21, 47, 40 orange
Circle 53, 9, 40 orange
Circle 38, 95, 40 yellow
Circle 84, 0, 40 blue
Circle 75, 27, 40 blue
Circle 64, 88, 40 yellow
Circle 59, 78, 40 indigo
Circle 63, 87, 40 blue
Circle 64, 9, 40 violet
Circle 31, 39, 40 green
Circle 67, 22, 40 indigo
Circle 6, 21, 40 indigo
Circle 21, 93, 40 yellow
Circle 2, 12, 40 green
Circle 43, 16, 40 green
Circle 19, 51, 40 violet
Circle 46, 52, 40 violet
Circle 7, 65, 40 blue
Circle 91, 32, 40 indigo
Circle 74, 34, 40 red
Circle 25, 41, 40 red
Circle 27, 44, 40 yellow
Circle 69, 53, 40 indigo
Circle 18, 42, 40 indigo
Circle 37, 31, 40 violet
Circle 28, 50, 40 green
Circle 97, 24, 40 orange
Circle 22, 54, 40 green
Circle 39, 7, 40 green
Circle 32, 42, 40 orange
Circle 38, 85, 40 indigo
Circle 4, 55, 40 red
Circle 16, 59, 39 indigo
Circle 36, 62, 39 blue
Circle 78, 23, 39 yellow
Circle 19, 69, 39 indigo
Circle 15, 50, 39 orange
Circle 99, 4, 39 indigo
Circle 59, 36, 39 yellow
Circle 76, 54, 39 red
Circle 19, 96, 39 green
Circle 20, 10, 39 green
Circle 35, 25, 39 orange
Circle 90, 2, 39 blue
Circle 81, 40, 39 yellow
Circle 90, 84, 39 blue
Circle 76, 92, 39 indigo
Circle 91, 93, 39 yellow
Circle 18, 49, 39 orange
Circle 79, 44, 39 indigo
Circle 81, 35, 39 red
Circle 52, 0, 39 indigo
Circle 72, 81, 39 yellow
Circle 97, 0, 39 yellow
Circle 46, 88, 39 blue
Circle 0, 87, 39 yellow
Circle 70, 84, 39 orange
Circle 94, 31, 39 orange
Circle 84, 67, 39 violet
Circle 37, 52, 39 yellow
Circle 38, 46, 39 green
Circle 74, 94, 39 red
Circle 61, 26, 39 indigo
Circle 92, 19, 39 blue
Circle 63, 50, 39 red
Circle 66, 80, 39 orange
Circle 1, 66, 39 violet
Circle 57, 54, 39 violet
Circle 97, 35, 39 indigo
Circle 31, 94, 39 indigo
Circle 67, 18, 39 red
Circle 37, 24, 39 orange
Circle 64, 10, 39 red
Circle 41, 90, 39 blue
Circle 58, 15, 39 orange
Circle 85, 76, 39 indigo
Circle 57, 49, 39 indigo
Circle 2, 9, 39 green
Circle 52, 85, 39 green
Circle 35, 4, 39 indigo
Circle 18, 66, 39 green
Circle 21, 22, 39 orange
Circle 44, 97, 39 blue
Circle 70, 54, 39 red
Circle 24, 45, 39 orange
Circle 41, 54, 39 green
Circle 21, 66, 39 red
Circle 92, 54, 39 green
Circle 78, 62, 39 orange
Circle 74, 77, 39 orange
Circle 72, 52, 39 red
Circle 84, 84, 39 indigo
Circle 40, 90, 39 violet
Circle 11, 96, 39 yellow
Circle 34, 14, 39 yellow
Circle 51, 54, 39 red
Circle 14, 6, 39 violet
Circle 7, 84, 39 green
Circle 13, 59, 39 yellow
Circle 18, 7, 39 indigo
Circle 40, 91, 39 yellow
Circle 99, 18, 39 indigo
Circle 35, 41, 39 green
Circle 71, 16, 39 orange
Circle 36, 20, 39 violet
Circle 0, 94, 39 orange
Circle 98, 0, 38 indigo
Circle 84, 85, 38 yellow
Circle 37, 13, 38 red
Circle 49, 22, 38 red
Circle 88, 34, 38 yellow
Circle 60, 20, 38 orange
Circle 38, 59, 38 red
Circle 94, 11, 38 yellow
Circle 47, 6, 38 red
Circle 80, 93, 38 green
Circle 95, 34, 38 violet
Circle 11, 21, 38 red
Circle 57, 85, 38 red
Circle 60, 92, 38 yellow
Circle 26, 14, 38 indigo
Circle 99, 24, 38 yellow
Circle 63, 69, 38 red
Circle 23, 84, 38 red
Circle 65, 37, 38 green
Circle 97, 58, 38 yellow
Circle 76, 18, 38 red
Circle 4, 45, 38 yellow
Circle 17, 0, 38 orange
Circle 15, 69, 38 violet
Circle 33, 26, 38 orange
Circle 60, 2, 38 indigo
Circle 7, 34, 38 orange
Circle 59, 31, 38 yellow
Circle 77, 28, 38 indigo
Circle 86, 31, 38 yellow
Circle 41, 1, 38 orange
Circle 68, 11, 38 indigo
Circle 0, 34, 38 green
Circle 44, 15, 38 orange
Circle 47, 31, 38 indigo
Circle 77, 36, 38 violet
Circle 44, 54, 38 indigo
Circle 43, 32, 38 red
Circle 21, 11, 38 yellow
Circle 17, 67, 38 orange
Circle 37, 48, 38 orange
Circle 70, 57, 38 green
Circle 18, 89, 38 violet
Circle 28, 92, 38 blue
Circle 22, 71, 38 yellow
Circle 3, 2, 38 orange
Circle 39, 67, 38 violet
Circle 65, 40, 38 green
Circle 60, 0, 38 green
Circle 85, 90, 38 blue
Circle 64, 36, 38 green
Circle 92, 54, 38 blue
Circle 14, 22, 38 yellow
Circle 85, 17, 38 indigo
Circle 71, 47, 38 blue
Circle 64, 35, 38 violet
Circle 19, 94, 37 indigo
Circle 29, 87, 37 yellow
Circle 64, 77, 37 blue
Circle 73, 43, 37 green
Circle 74, 14, 37 violet
Circle 34, 60, 37 violet
Circle 20, 93, 37 indigo
Circle 73, 8, 37 green
Circle 62, 7, 37 blue
Circle 67, 81, 37 indigo
Circle 94, 21, 37 violet
Circle 59, 70, 37 violet
Circle 4, 81, 37 violet
Circle 41, 24, 37 green
Circle 24, 23, 37 green
Circle 20, 53, 37 green
Circle 97, 10, 37 indigo
Circle 63, 21, 37 orange
Circle 72, 80, 37 green
Circle 86, 88, 37 indigo
Circle 16, 77, 37 blue
Circle 79, 85, 37 orange
Circle 78, 42, 37 red
Circle 94, 61, 37 green
Circle 46, 21, 37 indigo
Circle 27, 42, 37 green
Circle 36, 73, 37 violet
Circle 29, 44, 37 orange
Circle 78, 38, 37 blue
Circle 28, 49, 37 violet
Circle 23, 64, 37 indigo
Circle 91, 75, 37 indigo
Circle 50, 8, 37 indigo
Circle 96, 63, 37 indigo
Circle 53, 79, 37 yellow
Circle 71, 94, 37 indigo
Circle 72, 1, 37 violet
Circle 24, 73, 37 green
Circle 89, 15, 37 orange
Circle 3, 20, 37 blue
Circle 89, 14, 37 indigo
Circle 60, 1, 37 green
Circle 51, 52, 37 green
Circle 88, 85, 37 green
Circle 45, 97, 37 violet
Circle 62, 75, 37 yellow
Circle 96, 72, 37 violet
Circle 43, 83, 37 yellow
Circle 73, 87, 37 indigo
Circle 58, 75, 37 violet
Circle 98, 25, 37 blue
Circle 16, 68, 37 yellow
Circle 43, 27, 37 orange
Circle 64, 55, 37 orange
Circle 54, 63, 37 yellow
Circle 71, 6, 37 red
Circle 9, 96, 37 green
Circle 47, 15, 37 yellow
Circle 70, 27, 37 red
Circle 21, 11, 37 violet
Circle 27, 28, 37 red
Circle 16, 96, 37 green
Circle 3, 41, 37 orange
Circle 62, 55, 37 indigo
Circle 58, 84, 37 blue
Circle 68, 52, 37 violet
Circle 16, 72, 37 blue
Circle 59, 59, 37 red
Circle 37, 59, 37 indigo
Circle 2, 24, 37 orange
Circle 28, 74, 37 indigo
Circle 99, 17, 37 indigo
Circle 26, 30, 37 yellow
Circle 59, 42, 37 red
Circle 89, 90, 37 violet
Circle 78, 16, 36 violet
Circle 28, 88, 36 yellow
Circle 83, 48, 36 blue
Circle 60, 22, 36 yellow
Circle 76, 88, 36 orange
Circle 45, 76, 36 red
